"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|BE"
"01.01.2016 00:00 - 01.01.2016 01:00","23.86"
"01.01.2016 01:00 - 01.01.2016 02:00","22.39"
"01.01.2016 02:00 - 01.01.2016 03:00","20.59"
"01.01.2016 03:00 - 01.01.2016 04:00","16.81"
"01.01.2016 04:00 - 01.01.2016 05:00","17.41"
"01.01.2016 05:00 - 01.01.2016 06:00","17.02"
"01.01.2016 06:00 - 01.01.2016 07:00","15.86"
"01.01.2016 07:00 - 01.01.2016 08:00","18.16"
"01.01.2016 08:00 - 01.01.2016 09:00","17.73"
"01.01.2016 09:00 - 01.01.2016 10:00","19.77"
"01.01.2016 10:00 - 01.01.2016 11:00","23.75"
"01.01.2016 11:00 - 01.01.2016 12:00","26.03"
"01.01.2016 12:00 - 01.01.2016 13:00","27.06"
"01.01.2016 13:00 - 01.01.2016 14:00","26.59"
"01.01.2016 14:00 - 01.01.2016 15:00","25.00"
"01.01.2016 15:00 - 01.01.2016 16:00","20.06"
"01.01.2016 16:00 - 01.01.2016 17:00","19.43"
"01.01.2016 17:00 - 01.01.2016 18:00","24.57"
"01.01.2016 18:00 - 01.01.2016 19:00","33.11"
"01.01.2016 19:00 - 01.01.2016 20:00","35.34"
"01.01.2016 20:00 - 01.01.2016 21:00","33.07"
"01.01.2016 21:00 - 01.01.2016 22:00","29.52"
"01.01.2016 22:00 - 01.01.2016 23:00","30.10"
"01.01.2016 23:00 - 02.01.2016 00:00","24.57"
